,Disposals,Kicks,Handballs,Inside 50's,tackles,marks,contested possesions,uncontested possessions,turnovers,hitouts ,clearances ,Result,Score,Goals,Behinds
0,352,209,143,55,39,87,139,200,64,47,40,L,52,6,16
1,388,223,165,65,69,91,130,247,66,34,36,W,136,21,10
2,364,204,160,50,64,77,140,215,57,38,36,W,76,10,16
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,360,193,167,57,85,68,142,204,63,43,47,W,63,8,15
5,363,206,157,55,72,85,144,220,63,26,38,W,109,16,13
6,33,195,138,51,33,86,100,219,45,37,36,W,105,16,9
7,375,221,154,59,62,95,136,233,76,39,48,W,107,16,11
8,352,218,134,53,64,108,117,226,55,51,37,L,87,12,15
9,300,190,110,34,66,94,122,170,55,35,30,W,97,15,7
10,343,194,149,47,59,69,139,197,74,26,29,W,78,11,12
11,346,194,152,58,90,76,118,227,49,29,37,W,108,15,18
12,354,207,147,44,82,102,107,230,48,37,30,W,107,16,11
13,367,227,140,45,60,116,115,244,73,21,29,W,72,11,6
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,319,209,110,56,65,108,107,195,55,34,33,W,108,16,12
16,353,210,143,55,74,97,136,210,69,43,44,W,88,13,10
17,390,238,152,60,60,111,135,242,58,36,33,W,115,17,13
18,330,176,154,53,76,59,136,184,55,43,33,L,63,8,15
19,350,192,158,63,86,59,151,191,62,49,43,L,78,11,12
20,365,199,166,43,39,93,133,226,76,38,27,W,93,13,15
21,291,167,124,45,66,67,117,167,66,46,34,L,65,10,5
22,332,174,158,44,42,77,107,222,59,25,30,L,46,6,10
23,339,211,128,71,85,76,137,189,78,36,52,L,56,8,8
24,347,232,115,52,49,123,107,222,58,29,26,W,82,11,16
